Guid	Url	Answer	ExtractAnnotation	TargetVariableJson	AnswerJson	ConditionsJson
abf53648-6ddd-11ea-9c0b-ccda262736ce	https://socratic.org/questions/what-is-the-equilibrium-concentration-of-cl2in-a-100-liter-vessel-containing-o-2	3.03 × 10^(-3) M	start physical_unit 6 6 equilibrium_concentration mol/l qc_end physical_unit 11 11 9 10 volume qc_end physical_unit 16 16 13 14 mole qc_end physical_unit 21 21 18 19 mole qc_end chemical_equation 33 37 qc_end end	[{"type":"physical unit","value":"Equilibrium concentration [OF] Cl2 [IN] M"}]	[{"type":"physical unit","value":"3.03 × 10^(-3) M"}]	[{"type":"physical unit","value":"Volume [OF] vessel [=] \\pu{100 liters}"},{"type":"physical unit","value":"Mole [OF] PCI5 [=] \\pu{0.235 mole}"},{"type":"physical unit","value":"Mole [OF] PCI3 [=] \\pu{0.174 mole}"},{"type":"chemical equation","value":"PCI5(g) <=> Cl2(g) + PCI3(g)"},{"type":"physical unit","value":"Keq [OF] the reaction [=] \\pu{2.24 × 10^(-2)}"},{"type":"physical unit","value":"Temperature [OF] the reaction [=] \\pu{327 ℃}"}]
a999c94a-6ddd-11ea-8663-ccda262736ce	https://socratic.org/questions/if-the-heat-of-combustion-for-a-specific-compound-is-1220-kj-mol-and-its-molar-m	41.74 grams	start physical_unit 23 24 mass g qc_end physical_unit 8 8 10 11 enthalpy_of_combustion qc_end physical_unit 8 8 17 18 molar_mass qc_end physical_unit 23 24 30 31 heat_energy qc_end end	[{"type":"physical unit","value":"Mass [OF] this compound [IN] grams"}]	[{"type":"physical unit","value":"41.74 grams"}]	[{"type":"physical unit","value":"Heat of combustion [OF] the compound [=] \\pu{-1220 kJ/mol}"},{"type":"physical unit","value":"Molar mass [OF] the compound [=] \\pu{78.35 g/mol}"},{"type":"physical unit","value":"Released heat [OF] this compound [=] \\pu{649.90 kJ}"}]
aaefeeb1-6ddd-11ea-a741-ccda262736ce	https://socratic.org/questions/how-many-moles-are-in-sodium-chloride-in-150-ml-of-a-2-mm-nacl-solution	3.00 × 10^(-4) moles	start physical_unit 4 5 mole mol qc_end physical_unit 13 14 7 8 volume qc_end physical_unit 13 14 11 12 molarity qc_end end	[{"type":"physical unit","value":"Mole [OF] sodium chloride [IN] moles"}]	[{"type":"physical unit","value":"3.00 × 10^(-4) moles"}]	[{"type":"physical unit","value":"Volume [OF] NaCl solution [=] \\pu{150 mL}"},{"type":"physical unit","value":"Molarity [OF] NaCl solution [=] \\pu{2 mM}"}]
abb1db82-6ddd-11ea-afc5-ccda262736ce	https://socratic.org/questions/how-many-grams-of-cuso-4-are-present-in-652-ml-of-250-m-cuso-4-solution	26.00 grams	start physical_unit 4 4 mass g qc_end physical_unit 13 14 8 9 volume qc_end physical_unit 13 14 11 12 molarity qc_end end	[{"type":"physical unit","value":"Mass [OF] CuSO4 [IN] grams"}]	[{"type":"physical unit","value":"26.00 grams"}]	[{"type":"physical unit","value":"Volume [OF] CuSO4 solution [=] \\pu{652 mL}"},{"type":"physical unit","value":"Molarity [OF] CuSO4 solution [=] \\pu{0.250 M}"}]
ad0d2334-6ddd-11ea-a373-ccda262736ce	https://socratic.org/questions/when-the-equation-fe-cl-2-fecl-3-is-balanced-what-is-the-coefficient-for-cl-2	3	start physical_unit 5 5 coefficient none qc_end chemical_equation 3 7 qc_end end	[{"type":"physical unit","value":"Coefficient  [OF] Cl2"}]	[{"type":"physical unit","value":"3"}]	[{"type":"chemical equation","value":"Fe + Cl2 -> FeCl3"}]
aa2198a2-6ddd-11ea-87f0-ccda262736ce	https://socratic.org/questions/58f992fa11ef6b5262ea1cd6	2.00 × 10^(-3) mol/L	start physical_unit 5 6 solubility mol/l qc_end physical_unit 13 14 9 10 molarity qc_end physical_unit 15 15 17 19 equilibrium_constant_k qc_end physical_unit 20 20 22 24 kf qc_end end	[{"type":"physical unit","value":"Solubility [OF] silver bromide [IN] mol/L"}]	[{"type":"physical unit","value":"2.00 × 10^(-3) mol/L"}]	[{"type":"physical unit","value":"Molarity [OF] potassium cyanide [=] \\pu{0.1 mol/L}"},{"type":"physical unit","value":"Ksp [OF] AgBr [=] \\pu{7.7 × 10^(-13)}"},{"type":"physical unit","value":"Kf [OF] Ag(CN)^2- [=] \\pu{5.6 × 10^8}"}]
ab44b708-6ddd-11ea-8b6a-ccda262736ce	https://socratic.org/questions/what-is-the-volume-of-5-0-grams-of-co-2-at-stp	2.58 L	start physical_unit 8 8 volume l qc_end physical_unit 8 8 5 6 mass qc_end c_other STP qc_end end	[{"type":"physical unit","value":"Volume [OF] CO2 [IN] L"}]	[{"type":"physical unit","value":"2.58 L"}]	[{"type":"physical unit","value":"Mass [OF] CO2 [=] \\pu{5.0 grams}"},{"type":"other","value":"STP"}]
aaf0b23a-6ddd-11ea-b8a3-ccda262736ce	https://socratic.org/questions/57e95c2911ef6b3672700174	0.12 M	start physical_unit 11 13 concentration mol/l qc_end physical_unit 11 13 8 9 volume qc_end physical_unit 13 13 0 1 volume qc_end physical_unit 5 6 3 4 concentration qc_end end	[{"type":"physical unit","value":"Concentration [OF] sodium hydroxide solution [IN] M"}]	[{"type":"physical unit","value":"0.12 M"}]	[{"type":"physical unit","value":"Volume [OF] sodium hydroxide solution [=] \\pu{18.65 ml}"},{"type":"physical unit","value":"Volume [OF] oxalic acid solution [=] \\pu{10.00 ml}"},{"type":"physical unit","value":"Concentration [OF] oxalic acid solution [=] \\pu{0.1089 M}"}]
a8d51149-6ddd-11ea-9323-ccda262736ce	https://socratic.org/questions/a-280-ml-solution-is-20-salt-how-much-water-should-be-added-to-make-the-solution	120 mL	start physical_unit 9 9 volume ml qc_end physical_unit 3 3 1 2 volume qc_end physical_unit 6 6 5 5 percent qc_end physical_unit 6 6 17 17 percent qc_end end	[{"type":"physical unit","value":"Volume [OF] water [IN] mL"}]	[{"type":"physical unit","value":"120 mL"}]	[{"type":"physical unit","value":"Volume [OF] salt solution [=] \\pu{280 mL}"},{"type":"physical unit","value":"Percent1 [OF] salt in solution [=] \\pu{20%}"},{"type":"physical unit","value":"Percent2 [OF] salt in solution [=] \\pu{14%}"}]
a93bcca6-6ddd-11ea-a8c1-ccda262736ce	https://socratic.org/questions/how-many-milliliters-of-0-200m-naoh-solution-are-needed-to-react-with-22-0-ml-of	108.00 milliliters	start physical_unit 6 7 volume ml qc_end physical_unit 6 7 4 5 molarity qc_end physical_unit 19 20 17 18 molarity qc_end physical_unit 19 20 13 14 volume qc_end end	[{"type":"physical unit","value":"Volume [OF] NaOH solution [IN] milliliters"}]	[{"type":"physical unit","value":"108.00 milliliters"}]	[{"type":"physical unit","value":"Molarity [OF] NaOH solution [=] \\pu{0.200 M}"},{"type":"physical unit","value":"Molarity [OF] NiCl2 solution [=] \\pu{0.490 M}"},{"type":"physical unit","value":"Volume [OF] NiCl2 solution [=] \\pu{22.0 mL}"}]
ac8c9180-6ddd-11ea-8036-ccda262736ce	https://socratic.org/questions/how-do-you-convert-1-35-10-24-atoms-of-carbon-to-moles-of-carbon	2.24 moles	start physical_unit 9 9 mole mol qc_end end	[{"type":"physical unit","value":"Mole [OF] carbon [IN] moles"}]	[{"type":"physical unit","value":"2.24 moles"}]	[{"type":"physical unit","value":"Number [OF] carbon atoms [=] \\pu{1.35 × 10^24}"}]
ab452c9c-6ddd-11ea-987a-ccda262736ce	https://socratic.org/questions/what-is-the-boiling-point-of-a-solution-containing-2-33-g-of-caffeine-c-8h-10n-4	82.12 ℃	start physical_unit 7 7 boiling_point_temperature °c qc_end physical_unit 13 13 9 10 mass qc_end physical_unit 19 19 16 17 mass qc_end physical_unit 24 25 27 28 boiling_point_temperature qc_end physical_unit 24 25 37 38 kbp qc_end end	[{"type":"physical unit","value":"Boiling point [OF] the solution [IN] ℃"}]	[{"type":"physical unit","value":"82.12 ℃"}]	[{"type":"physical unit","value":"Mass [OF] C8H10N4O2 [=] \\pu{2.33 g}"},{"type":"physical unit","value":"Mass [OF] benzene [=] \\pu{15.0 g}"},{"type":"physical unit","value":"Boiling point [OF] pure benzene [=] \\pu{80.1 ℃}"},{"type":"physical unit","value":"Kbp [OF] pure benzene [=] \\pu{2.53 ℃/m}"}]
a92833a4-6ddd-11ea-a5ed-ccda262736ce	https://socratic.org/questions/how-many-grams-of-hydrogen-are-necessary-to-react-completely-with-50-0-g-of-nitr	10.80 grams	start physical_unit 4 4 mass g qc_end physical_unit 14 14 11 12 mass qc_end chemical_equation 18 24 qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"Mass [OF] hydrogen [IN] grams"}]	[{"type":"physical unit","value":"10.80 grams"}]	[{"type":"physical unit","value":"Mass [OF] nitrogen [=] \\pu{50.0 g}"},{"type":"chemical equation","value":"N2 + 3 H2 -> 2 NH3"},{"type":"other","value":"React completely."}]
ac04ebc0-6ddd-11ea-b55e-ccda262736ce	https://socratic.org/questions/the-ph-of-a-2m-solution-of-naoh-is-please-include-the-complete-solution-of-the-p	14.30	start physical_unit 6 6 ph none qc_end physical_unit 8 8 4 5 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] NaOH solution"}]	[{"type":"physical unit","value":"14.30"}]	[{"type":"physical unit","value":"Molarity [OF] NaOH solution [=] \\pu{2 M}"}]
aa3a7e12-6ddd-11ea-82c5-ccda262736ce	https://socratic.org/questions/how-many-moles-of-h-2so-4-are-present-in-0-500-l-of-a-0-150-m-h-2so-4-solution	0.08 moles	start physical_unit 4 4 mole mol qc_end physical_unit 14 15 8 9 volume qc_end physical_unit 14 15 12 13 molarity qc_end end	[{"type":"physical unit","value":"Mole [OF] H2SO4 [IN] moles"}]	[{"type":"physical unit","value":"0.08 moles"}]	[{"type":"physical unit","value":"Volume [OF] H2SO4 solution [=] \\pu{0.500 L}"},{"type":"physical unit","value":"Molarity [OF] H2SO4 solution [=] \\pu{0.150 M}"}]
abc5e128-6ddd-11ea-830a-ccda262736ce	https://socratic.org/questions/a-775-ml-sample-of-nitrogen-gas-is-cooled-from-67-c-to-42-c-what-is-the-new-volu	718.01 mL	start physical_unit 3 6 volume ml qc_end physical_unit 3 6 1 2 volume qc_end physical_unit 3 6 10 11 temperature qc_end physical_unit 3 6 13 14 temperature qc_end c_other OTHER qc_end end	[{"type":"physical unit","value":"Volume2 [OF] nitrogen gas sample [IN] mL"}]	[{"type":"physical unit","value":"718.01 mL"}]	[{"type":"physical unit","value":"Volume1 [OF] nitrogen gas sample [=] \\pu{775 mL}"},{"type":"physical unit","value":"Temperature1 [OF] nitrogen gas sample [=] \\pu{67 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] nitrogen gas sample [=] \\pu{42 ℃}"},{"type":"other","value":"The pressure remains the same."}]
a8ca8a1a-6ddd-11ea-889c-ccda262736ce	https://socratic.org/questions/how-much-heat-does-it-take-to-raise-the-temperature-of-2-5-kg-of-plastic-from-15	390 kJ	start physical_unit 14 14 heat_energy kj qc_end physical_unit 14 14 16 17 temperature qc_end physical_unit 14 14 19 20 temperature qc_end physical_unit 14 14 11 12 mass qc_end end	[{"type":"physical unit","value":"Taken heat [OF] plastic  [IN] kJ"}]	[{"type":"physical unit","value":"390 kJ"}]	[{"type":"physical unit","value":"Temperature1 [OF] plastic  [=] \\pu{15 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] plastic  [=] \\pu{75 ℃}"},{"type":"physical unit","value":"Mass [OF] plastic  [=] \\pu{2.5 kg}"}]
aa147e22-6ddd-11ea-a6ec-ccda262736ce	https://socratic.org/questions/if-i-add-75-ml-of-water-to-125-ml-of-a-0-15-m-naoh-solution-what-will-the-molari	0.09 M	start physical_unit 22 23 molarity mol/l qc_end physical_unit 14 15 12 13 molarity qc_end physical_unit 6 6 3 4 volume qc_end physical_unit 14 15 8 9 volume qc_end end	[{"type":"physical unit","value":"Molarity2 [OF]  diluted solution [IN] M"}]	[{"type":"physical unit","value":"0.09 M"}]	[{"type":"physical unit","value":"Molarity1 [OF] NaOH solution [=] \\pu{0.15 M}"},{"type":"physical unit","value":"Volume1 [OF] water [=] \\pu{75 mL}"},{"type":"physical unit","value":"Volume [OF] NaOH solution [=] \\pu{125 mL}"}]
ace8b201-6ddd-11ea-85e3-ccda262736ce	https://socratic.org/questions/if-100-00-j-are-added-to-20-0-g-water-at-30-0-c-what-will-be-the-final-temperatu	31.20 ℃	start physical_unit 8 8 temperature °c qc_end physical_unit 8 8 10 11 temperature qc_end physical_unit 8 8 1 2 energy qc_end physical_unit 8 8 6 7 mass qc_end end	[{"type":"physical unit","value":"Temperature2 [OF] water [IN] ℃"}]	[{"type":"physical unit","value":"31.20 ℃"}]	[{"type":"physical unit","value":"Temperature1 [OF] water [=] \\pu{30.0 ℃}"},{"type":"physical unit","value":"Added energy [OF] water [=] \\pu{100.00 J}"},{"type":"physical unit","value":"Mass [OF] water [=] \\pu{20.0 g}"}]
a956d42d-6ddd-11ea-8e72-ccda262736ce	https://socratic.org/questions/the-ksp-of-manganese-ii-carbonate-mnco-3-is-2-42-10-11-what-is-the-solubility-of	5.65 × 10^(-5) g/L	start physical_unit 15 16 solubility g/l qc_end physical_unit 5 5 7 9 equilibrium_constant_k qc_end end	[{"type":"physical unit","value":"Solubility [OF] this compound [IN] g/L"}]	[{"type":"physical unit","value":"5.65 × 10^(-5) g/L"}]	[{"type":"physical unit","value":"Ksp [OF] MnCO3 [=] \\pu{2.42 × 10^(-11)}"}]
a8fe9c06-6ddd-11ea-a76f-ccda262736ce	https://socratic.org/questions/a-gas-sample-weighing-3-78-grams-occupies-a-volume-of-2-28-l-at-stp-what-is-the-	37.6 g/mol	start physical_unit 20 21 molecular_weight g/mol qc_end physical_unit 1 2 4 5 mass qc_end physical_unit 1 2 10 11 volume qc_end c_other STP qc_end end	[{"type":"physical unit","value":"Molecular mass [OF] the sample [IN] g/mol"}]	[{"type":"physical unit","value":"37.6 g/mol"}]	[{"type":"physical unit","value":"Mass [OF] the gas sample [=] \\pu{3.78 grams}"},{"type":"physical unit","value":"Volume [OF] the gas sample [=] \\pu{2.28 L}"},{"type":"other","value":"STP"}]
aa346325-6ddd-11ea-80d1-ccda262736ce	https://socratic.org/questions/what-is-the-ph-of-a-1-10-5-m-solution-of-sulfuric-acid	4.73	start physical_unit 10 10 ph none qc_end physical_unit 12 13 6 9 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] sulfuric acid solution"}]	[{"type":"physical unit","value":"4.73"}]	[{"type":"physical unit","value":"Molarity [OF] sulfuric acid solution [=] \\pu{1 × 10^(-5) M}"}]
a8bfb4a4-6ddd-11ea-8cd0-ccda262736ce	https://socratic.org/questions/what-concentration-of-no-3-results-when-697-ml-of-0-515-m-nano-3-is-mixed-with-6	1.02 M	start physical_unit 3 3 concentration mol/l qc_end physical_unit 11 11 6 7 volume qc_end physical_unit 11 11 9 10 concentration qc_end physical_unit 20 20 15 16 volume qc_end physical_unit 20 20 18 19 concentration qc_end end	[{"type":"physical unit","value":"Concentration [OF] NO3- [IN] M"}]	[{"type":"physical unit","value":"1.02 M"}]	[{"type":"physical unit","value":"Volume [OF] NaNO3 [=] \\pu{697 mL}"},{"type":"physical unit","value":"Concentration [OF] NaNO3 [=] \\pu{0.515 M}"},{"type":"physical unit","value":"Volume [OF] Ca(NO3)2 [=] \\pu{635 mL}"},{"type":"physical unit","value":"Concentration [OF] Ca(NO3)2 [=] \\pu{0.785 M}"}]
acab9265-6ddd-11ea-b95a-ccda262736ce	https://socratic.org/questions/9-50g-of-a-sample-of-hydrated-mgso4-are-heated-and-4-85g-of-h20-are-lost-how-wou	MgSO4.7H2O	start chemical_formula qc_end physical_unit 4 7 0 1 mass qc_end physical_unit 14 14 11 12 mass qc_end end	[{"type":"other","value":"Chemical Formula [OF] this hydrated salt [IN] empirical"}]	[{"type":"chemical equation","value":"MgSO4.7H2O"}]	[{"type":"physical unit","value":"Mass [OF] hydrated MgSO4 sample [=] \\pu{9.50 g}"},{"type":"physical unit","value":"Mass [OF] H2O [=] \\pu{4.85 g}"}]
ac0ee146-6ddd-11ea-b068-ccda262736ce	https://socratic.org/questions/the-ka-value-of-a-weak-acid-ha-is-10-6-an-initial-solution-containing-1-0-m-of-h	3.00	start physical_unit 26 27 ph none qc_end physical_unit 7 7 9 9 ka qc_end physical_unit 7 7 14 15 molarity qc_end c_other Equilibrium qc_end end	[{"type":"physical unit","value":"pH [OF] final solution"}]	[{"type":"physical unit","value":"3.00"}]	[{"type":"physical unit","value":"Ka [OF] HA [=] \\pu{10^(-6)}"},{"type":"physical unit","value":"Molarity [OF] HA solution [=] \\pu{1.0 M}"},{"type":"other","value":"Equilibrium."}]
aa36fbdc-6ddd-11ea-bff9-ccda262736ce	https://socratic.org/questions/the-following-chemical-equation-is-not-balanced-fe-2o-3-h-2so-4-fe-2-so-4-3-h-2o	3	start physical_unit 27 28 coefficient none qc_end chemical_equation 7 13 qc_end end	[{"type":"physical unit","value":"Coefficient [OF] water molecule"}]	[{"type":"physical unit","value":"3"}]	[{"type":"chemical equation","value":"Fe2O3 + H2SO4 -> Fe2(SO4)3 + H2O"}]
a8b50b89-6ddd-11ea-b9ce-ccda262736ce	https://socratic.org/questions/what-is-the-volume-occupied-by-one-mole-of-helium-at-0-c-and-1-atm-pressure	22.4 L	start physical_unit 9 9 volume l qc_end physical_unit 9 9 11 12 temperature qc_end physical_unit 9 9 14 15 pressure qc_end physical_unit 9 9 6 7 mole qc_end end	[{"type":"physical unit","value":"Volume [OF] helium [IN] L"}]	[{"type":"physical unit","value":"22.4 L"}]	[{"type":"physical unit","value":"Temperature [OF] helium [=] \\pu{0 ℃}"},{"type":"physical unit","value":"Pressure [OF] helium [=] \\pu{1 atm}"},{"type":"physical unit","value":"Mole [OF] helium [=] \\pu{1 mole}"}]
a911d3da-6ddd-11ea-bf6b-ccda262736ce	https://socratic.org/questions/how-many-moles-of-water-are-in-0-34g-of-water	0.02 moles	start physical_unit 4 4 mole mol qc_end physical_unit 4 4 7 8 mass qc_end end	[{"type":"physical unit","value":"Mole [OF] water [IN] moles"}]	[{"type":"physical unit","value":"0.02 moles"}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\pu{0.34 g}"}]
a997ee10-6ddd-11ea-aa16-ccda262736ce	https://socratic.org/questions/a-sample-of-gas-has-a-mass-of-0-565-g-its-volume-is-117-ml-at-a-temperature-of-9	148.04 g/mol	start physical_unit 35 36 molar_mass g/mol qc_end physical_unit 1 3 8 9 mass qc_end physical_unit 1 3 13 14 volume qc_end physical_unit 1 3 19 20 temperature qc_end physical_unit 1 3 25 26 pressure qc_end end	[{"type":"physical unit","value":"Molar mass [OF] the gas [IN] g/mol"}]	[{"type":"physical unit","value":"148.04 g/mol"}]	[{"type":"physical unit","value":"Mass [OF] the gas sample [=] \\pu{0.565 g}"},{"type":"physical unit","value":"Volume [OF] the gas sample [=] \\pu{117 mL}"},{"type":"physical unit","value":"Temperature [OF] the gas sample [=] \\pu{95 ℃}"},{"type":"physical unit","value":"Pressure [OF] the gas sample [=] \\pu{749 mmHg}"}]
ad1b8dce-6ddd-11ea-a158-ccda262736ce	https://socratic.org/questions/574079387c01494d69bb1a62	8.48 moles	start physical_unit 3 3 mole mol qc_end physical_unit 10 10 8 9 mole qc_end chemical_equation 11 17 qc_end end	[{"type":"physical unit","value":"Mole [OF] Ag2O [IN] moles"}]	[{"type":"physical unit","value":"8.48 moles"}]	[{"type":"physical unit","value":"Mole [OF] O2 [=] \\pu{4.24 mol}"},{"type":"chemical equation","value":"2 Ag2O -> 4 Ag + O2"}]
aca33a68-6ddd-11ea-be1c-ccda262736ce	https://socratic.org/questions/according-to-this-reaction-2al-6hbr-2albr-3-3h-2-if-4-moles-of-al-reacts-with-8-	6.00 mioles	start physical_unit 14 14 mole mol qc_end physical_unit 5 5 16 17 mole qc_end physical_unit 8 8 22 23 mole qc_end chemical_equation 4 14 qc_end end	[{"type":"physical unit","value":"Mole [OF] H2 [IN] moles"}]	[{"type":"physical unit","value":"6.00 mioles"}]	[{"type":"physical unit","value":"Mole [OF] Al [=] \\pu{4 moles}"},{"type":"physical unit","value":"Mole [OF] HBr [=] \\pu{8 moles}"},{"type":"chemical equation","value":"2 Al + 6 HBr -> 2 AlBr3 + 3 H2"}]
a8d40030-6ddd-11ea-9a48-ccda262736ce	https://socratic.org/questions/calculate-the-heat-required-to-raise-the-temperature-of-2-0-kg-of-ice-at-25-c-to	4.0 × 10^5 J	start physical_unit 12 12 heat_energy j qc_end physical_unit 12 12 9 10 mass qc_end physical_unit 12 12 14 15 temperature qc_end physical_unit 12 12 17 18 temperature qc_end end	[{"type":"physical unit","value":"Required heat [OF] ice [IN] J"}]	[{"type":"physical unit","value":"4.0 × 10^5 J"}]	[{"type":"physical unit","value":"Temperature1 [OF] ice [=] \\pu{-25 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] ice [=] \\pu{70 ℃}"},{"type":"physical unit","value":"Mass [OF] ice [=] \\pu{2.0 kg}"}]
a8a6d289-6ddd-11ea-88d4-ccda262736ce	https://socratic.org/questions/what-is-the-formula-of-the-compound-formed-when-ammonium-ions-nh-4-and-phosphate	(NH4)3PO4	start chemical_formula qc_end chemical_equation 11 11 qc_end chemical_equation 15 15 qc_end end	[{"type":"other","value":"Chemical Formula [OF] the compound [IN] default"}]	[{"type":"chemical equation","value":"(NH4)3PO4"}]	[{"type":"chemical equation","value":"NH4+"},{"type":"chemical equation","value":"PO4^(3-)"}]
ac894f13-6ddd-11ea-918c-ccda262736ce	https://socratic.org/questions/5906c120b72cff522389b12c	3 Ca^2+ + 2 PO4^3- -> Ca3(PO4)2(s)	start chemical_equation qc_end substance 2 3 qc_end substance 5 6 qc_end substance 9 9 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"3 Ca^2+ + 2 PO4^3- -> Ca3(PO4)2(s)"}]	[{"type":"substance name","value":"Calcium ion"},{"type":"substance name","value":"Phosphate ion"},{"type":"substance name","value":"Water"}]
ab168c00-6ddd-11ea-a89a-ccda262736ce	https://socratic.org/questions/599c35a87c01495b806fba3e	90	start physical_unit 6 7 equilibrium_constant_k none qc_end chemical_equation 8 13 qc_end end	[{"type":"physical unit","value":"Equilibrium constant [OF] the reaction"}]	[{"type":"physical unit","value":"90"}]	[{"type":"chemical equation","value":"2 CH2Cl2(g) <=> CH4(g) + CCl4(g)"},{"type":"physical unit","value":"[CH2Cl2] [OF] solution [=] \\pu{0.021 M}"},{"type":"physical unit","value":"[CH4] [OF] solution [=] \\pu{0.2 M}"},{"type":"physical unit","value":"[CCl4] [OF] solution [=] \\pu{0.2 M}"}]
ab3c96ed-6ddd-11ea-8b4f-ccda262736ce	https://socratic.org/questions/how-many-moles-of-solute-are-contained-in-200-milliliters-of-a-1-m-solution	0.20 moles	start physical_unit 4 4 mole mol qc_end physical_unit 14 14 8 9 volume qc_end physical_unit 14 14 12 13 molarity qc_end end	[{"type":"physical unit","value":"Mole [OF] solute [IN] moles"}]	[{"type":"physical unit","value":"0.20 moles"}]	[{"type":"physical unit","value":"Volume [OF] solution [=] \\pu{200 milliliters}"},{"type":"physical unit","value":"Molarity [OF] solution [=] \\pu{1 M}"}]
ab64f058-6ddd-11ea-90aa-ccda262736ce	https://socratic.org/questions/56edba7f11ef6b5cfb709278	+2	start physical_unit 2 3 oxidation_number none qc_end chemical_equation 10 10 qc_end end	[{"type":"physical unit","value":"Oxidation number [OF] the metal"}]	[{"type":"physical unit","value":"+2"}]	[{"type":"chemical equation","value":"[Zn(OH)4]^2-"}]
a9338f30-6ddd-11ea-88b1-ccda262736ce	https://socratic.org/questions/q-i-how-many-moles-of-sulphur-will-be-produced-when-2-moles-of-h2s-reacts-with-1	0.19 moles	start physical_unit 4 4 mole mol qc_end physical_unit 12 12 9 10 mole qc_end physical_unit 18 18 15 16 volume qc_end c_other NTP qc_end end	[{"type":"physical unit","value":"Mole [OF] sulphur [IN] moles"}]	[{"type":"physical unit","value":"0.19 moles"}]	[{"type":"physical unit","value":"Mole [OF] H2S  [=] \\pu{2 moles}"},{"type":"physical unit","value":"Volume [OF] SO2 [=] \\pu{11.2 L}"},{"type":"other","value":"NTP"}]
ac9a3556-6ddd-11ea-a0b6-ccda262736ce	https://socratic.org/questions/how-would-you-balance-the-following-equation-s-hno3-h2so4-no2-h2o	S + 6 HNO3 -> H2SO4 + 6 NO2 + 2 H2O	start chemical_equation qc_end chemical_equation 7 15 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"S + 6 HNO3 -> H2SO4 + 6 NO2 + 2 H2O"}]	[{"type":"chemical equation","value":"S + HNO3 -> H2SO4 + NO2 + H2O"}]
a9d0f915-6ddd-11ea-a766-ccda262736ce	https://socratic.org/questions/how-many-nitrogen-molecules-are-in-2-4-moles-of-n-2	1.44 × 10^24	start physical_unit 2 3 number none qc_end physical_unit 9 9 6 7 mole qc_end end	[{"type":"physical unit","value":"Number [OF] nitrogen molecules"}]	[{"type":"physical unit","value":"1.44 × 10^24"}]	[{"type":"physical unit","value":"Mole [OF] N2 [=] \\pu{2.4 moles}"}]
ab666014-6ddd-11ea-b98b-ccda262736ce	https://socratic.org/questions/560648e711ef6b340e584d26	1.81 × 10^21	start physical_unit 2 3 number none qc_end physical_unit 12 13 7 8 volume qc_end physical_unit 12 13 10 11 molarity qc_end end	[{"type":"physical unit","value":"Number [OF] OH- ions"}]	[{"type":"physical unit","value":"1.81 × 10^21"}]	[{"type":"physical unit","value":"Volume [OF] Ba(OH)2 solution [=] \\pu{5.0 mL}"},{"type":"physical unit","value":"Molarity [OF] Ba(OH)2 solution [=] \\pu{0.3 M}"}]
ac3a9074-6ddd-11ea-bf18-ccda262736ce	https://socratic.org/questions/what-is-the-hydrogen-ion-concentration-of-a-solution-with-ph-3-75	10^(-3.75) M	start physical_unit 3 4 concentration mol/l qc_end physical_unit 8 8 12 12 ph qc_end end	[{"type":"physical unit","value":"Concentration [OF] hydrogen ion [IN] M"}]	[{"type":"physical unit","value":"10^(-3.75) M"}]	[{"type":"physical unit","value":"pH [OF] the solution [=] \\pu{3.75}"}]
a8a72a34-6ddd-11ea-8a99-ccda262736ce	https://socratic.org/questions/how-many-moles-of-s-are-in-25-g-of-s	0.78 moles	start physical_unit 4 4 mole mol qc_end physical_unit 4 4 7 8 mass qc_end end	[{"type":"physical unit","value":"Mole [OF] S [IN] moles"}]	[{"type":"physical unit","value":"0.78 moles"}]	[{"type":"physical unit","value":"Mass [OF] S [=] \\pu{25 g}"}]
aae78aa6-6ddd-11ea-964d-ccda262736ce	https://socratic.org/questions/how-many-calories-are-absorbed-by-a-pot-of-water-with-a-mass-of-500-g-in-order-t	5000 calories	start physical_unit 9 9 heat_energy cal qc_end physical_unit 9 9 14 15 mass qc_end physical_unit 9 9 23 24 temperature qc_end physical_unit 9 9 26 27 temperature qc_end end	[{"type":"physical unit","value":"Absorbed energy [OF] water [IN] calories"}]	[{"type":"physical unit","value":"5000 calories"}]	[{"type":"physical unit","value":"Mass [OF] water [=] \\pu{500 g}"},{"type":"physical unit","value":"Temperature1 [OF] water [=] \\pu{20 ℃}"},{"type":"physical unit","value":"Temperature2 [OF] water [=] \\pu{30 ℃}"}]
